"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"78","Gawdspet","2428891635$7.24%2.43b","629","61","98.78%","1,252,602.0",""
"66","Johnporter","2334157732$6.96%2.33b","-","77","97.00%","1,203,746.8",""
"72","Megamanmeat","2292133586$6.83%2.29b","628","59","93.26%","1,182,074.6",""
"69","Chillzen","2235452489$6.66%2.24b","625","72","92.53%","1,152,843.6",""
"60","Hossmobile","2234346179$6.66%2.23b","629","30","96.34%","1,152,273.1",""
"63","Timetofist","2066836192$6.16%2.07b","624","68","93.78%","1,065,886.6",""
"65","Cheetostains","2020391851$6.02%2.02b","627","53","93.81%","1,041,934.8",""
"51","Pzyco","2006825924$5.98%2.01b","622","59","97.61%","1,034,938.7",""
"58","Runalios","1980449790$5.90%1.98b","-","74","87.11%","1,021,336.3",""
"38","Laserdaddy","1837466181$5.48%1.84b","624","32","94.41%","947,598.4",""
"49","Zerkk","1808783758$5.39%1.81b","622","64","84.26%","932,806.6",""
"52","Wubwub","1712102585$5.10%1.71b","628","41","81.11%","882,947.2",""
"48","Faedoon","1657489448$4.94%1.66b","628","35","89.63%","854,782.7",""
"43","Notamagee","1595988492$4.76%1.60b","628","41","77.17%","823,066.1",""
"55","Mattank","1090117010$3.25%1.09b","626","39","96.73%","562,183.5",""
"53","Gromsir","982370911$2.93%982.37m","620","47","48.54%","506,617.8",""
"45","Raydemic","927844064$2.76%927.84m","629","22","96.69%","478,497.8",""
"33","Newstoneform","870155478$2.59%870.16m","619","44","53.96%","448,747.3",""
"47","Liuqyn","603719874$1.80%603.72m","601","97","35.37%","311,343.9",""
"44","Doodlebob","316914315$0.94%316.91m","623","48","18.56%","163,435.7",""
"74","Shiyuan","159658961$0.48%159.66m","630","67","62.13%","82,337.6",""
"28","Sternpriest","139475533$0.42%139.48m","628","25","28.87%","71,928.8",""
"15","Nelzidin","130585582$0.39%130.59m","627","6","74.64%","67,344.2",""
"49","Skaraa","127635415$0.38%127.64m","623","46","76.19%","65,822.8",""
