"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"78","Lewinn","519242320$8.77%519.24m","625","62","99.61%","1,141,533.1",""
"64","Hossmobile","466605351$7.88%466.61m","622","56","90.72%","1,025,812.9",""
"82","Gawdspet","463700799$7.84%463.70m","623","66","99.67%","1,019,427.3",""
"71","Jpmagi","431799070$7.30%431.80m","627","36","88.80%","949,292.7",""
"63","Megamanmeat","403183637$6.81%403.18m","623","31","92.35%","886,382.8",""
"56","Notamagee","392380185$6.63%392.38m","622","47","89.09%","862,631.9",""
"51","Laserdaddy","382175031$6.46%382.18m","621","33","99.79%","840,196.3",""
"43","Pzyco","353806562$5.98%353.81m","620","28","99.76%","777,829.3",""
"36","Runalios","349081820$5.90%349.08m","620","19","93.22%","767,442.2",""
"40","Chillzen","346838114$5.86%346.84m","621","23","84.27%","762,509.5",""
"40","Timetofist","332643581$5.62%332.64m","618","35","94.12%","731,303.4",""
"33","Johnporter","330354288$5.58%330.35m","619","28","87.94%","726,270.5",""
"48","Faedoon","312261657$5.28%312.26m","624","22","94.47%","686,494.6",""
"27","Zerkk","301853712$5.10%301.85m","619","20","82.65%","663,613.1",""
"73","Mattank","216392648$3.66%216.39m","623","44","96.39%","475,730.4",""
"42","Raydemic","192123867$3.25%192.12m","625","19","94.05%","422,376.5",""
"53","Sternpriest","42827340$0.72%42.83m","623","46","22.01%","94,154.2",""
"60","Skaraa","30281029$0.51%30.28m","619","60","84.23%","66,571.6",""
"23","Nelzidin","26205077$0.44%26.21m","620","11","62.42%","57,610.8",""
"74","Shiyuan","24447555$0.41%24.45m","626","66","57.88%","53,747.0",""
