"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"82","Notamagee","2066167194$5.42%2.07b","622","69","96.31%","1,126,972.2",""
"86","Cheetostains","1976852367$5.19%1.98b","623","44","99.41%","1,078,256.3",""
"76","Johnporter","1924532736$5.05%1.92b","618","68","97.85%","1,049,719.0",""
"81","Wubwub","1918561695$5.04%1.92b","620","60","98.69%","1,046,462.1",""
"66","Gromsir","1878287443$4.93%1.88b","616","69","98.11%","1,024,494.9",""
"77","Gawdspet","1876844748$4.93%1.88b","620","58","98.36%","1,023,708.0",""
"77","Runalios","1865315395$4.90%1.87b","620","49","95.98%","1,017,419.4",""
"75","Chillzen","1835397895$4.82%1.84b","620","45","95.82%","1,001,101.2",""
"70","Lewinn","1826993307$4.80%1.83b","623","43","90.82%","996,517.0",""
"61","Pzyco","1823021752$4.79%1.82b","617","51","98.20%","994,350.7",""
"66","Laserdaddy","1796249567$4.72%1.80b","620","35","98.62%","979,748.1",""
"71","Megamanmeat","1759762592$4.62%1.76b","623","33","88.89%","959,846.6",""
"76","Faedoon","1687852770$4.43%1.69b","623","36","92.66%","920,624.0",""
"59","Refeik","1674263488$4.40%1.67b","617","42","99.45%","913,211.9",""
"63","Timetofist","1673906518$4.39%1.67b","615","68","88.91%","913,017.2",""
"55","Doodlebob","1666345200$4.37%1.67b","-","56","90.36%","908,892.9",""
"62","Zerkk","1589972815$4.17%1.59b","618","50","85.78%","867,236.3",""
"48","Fullrager","1422134581$3.73%1.42b","617","27","89.63%","775,690.4",""
"47","Preservation","1344793472$3.53%1.34b","619","21","99.23%","733,505.4",""
"28","Newstoneform","1258391661$3.30%1.26b","614","19","90.87%","686,378.4",""
"80","Mattank","937946103$2.46%937.95m","622","55","98.15%","511,594.2",""
"14","Sannwarr","916510248$2.41%916.51m","-","15","85.26%","499,902.2",""
"71","Raydemic","875040797$2.30%875.04m","625","40","98.17%","477,283.1",""
"71","Skaraa","140747284$0.37%140.75m","617","63","92.36%","76,769.3",""
"66","Shiyuan","126350796$0.33%126.35m","625","58","72.47%","68,916.9",""
"33","Nelzidin","125735490$0.33%125.74m","618","22","81.88%","68,581.3",""
"27","Sternpriest","101175553$0.27%101.18m","622","20","21.20%","55,185.3",""
