"Parse %","Name","Amount","Ilvl","Ilvl %","Active","DPS",""
"47","Jpmagi","4810607655$8.03%4.81b","624","47","92.49%","864,557.9",""
"59","Megamanmeat","4756728605$7.94%4.76b","622","59","82.02%","854,874.8",""
"42","Lewinn","4599568389$7.68%4.60b","622","43","81.73%","826,630.1",""
"46","Gawdspet","4581324074$7.65%4.58b","616","74","93.12%","823,351.3",""
"39","Runalios","4386995136$7.32%4.39b","617","60","88.21%","788,426.7",""
"34","Cheetostains","4347394938$7.26%4.35b","618","58","90.90%","781,309.7",""
"36","Pzyco","4327849774$7.23%4.33b","616","65","92.72%","777,797.1",""
"34","Notamagee","4162013729$6.95%4.16b","619","62","90.20%","747,993.2",""
"41","Chillzen","4077776211$6.81%4.08b","619","51","78.22%","732,854.1",""
"45","Wubwub","3824969839$6.39%3.82b","617","58","88.89%","687,420.0",""
"23","Thefïst","3394209177$5.67%3.39b","616","45","80.37%","610,004.1",""
"22","Zerkk","3345327825$5.58%3.35b","618","31","74.95%","601,219.2",""
"27","Laserdaddy","2710205767$4.52%2.71b","618","36","64.16%","487,075.6",""
"66","Mattank","2279140467$3.80%2.28b","619","54","92.12%","409,605.0",""
"33","Raydemic","2081092860$3.47%2.08b","624","26","93.63%","374,012.1",""
"30","Johnporter","1020383070$1.70%1.02b","615","53","22.77%","183,382.3",""
"18","Nelzidin","299697566$0.50%299.70m","616","24","72.65%","53,861.4",""
"22","Sternpriest","298541032$0.50%298.54m","619","23","21.49%","53,653.5",""
"37","Skaraa","246538873$0.41%246.54m","617","46","82.53%","44,307.7",""
"64","Shiyuan","227700704$0.38%227.70m","622","62","49.12%","40,922.2",""
"33","Preservation","121898060$0.20%121.90m","618","27","2.88%","21,907.4",""
